match_id,data,competicao,adversario,local_ref,placar_ref,placar_banco,gols_vasco_ref,gols_vasco_banco,tecnico_ref,tecnico_banco,tecnico_status,horario_ref,horario_banco,horario_status,estadio_ref,estadio_banco,estadio_status,arbitro_ref,arbitragem_banco,arbitragem_status,escalacao_status,cartoes_status,publico_presente_ref,publico_banco,renda_banco,fonte_rica
215438,03/01/2000,Amistoso,Sel. Argélia,casa,7x0,7x0,"Donizete (2), Juninho, Romário, Felipe, Dedé, Viola",Donizete:2; Juninho:1; Romário:1; Felipe:1; Dedé:1; Viola:1,Antônio Lopes,Antônio Lopes,OK,20:45,20:45,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215411,06/01/2000,Mundial de Clubes,South Melbourne,casa,2x0,2x0,"Felipe, Edmundo",Felipe:1; Edmundo:1,Antônio Lopes,Antônio Lopes,OK,20:45,20:45,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215412,08/01/2000,Mundial de Clubes,Manchester United,fora,3x1,3x1,"Romário (2), Edmundo",Romário:2; Edmundo:1,Antônio Lopes,Antônio Lopes,OK,18:15,18:15,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215413,11/01/2000,Mundial de Clubes,Necaxa,casa,2x1,2x1,"Odvan, Romário",Odvan:1; Romário:1,Antônio Lopes,Antônio Lopes,OK,20:45,20:45,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215414,14/01/2000,Mundial de Clubes,Corinthians,fora,0x0,0x0,-,,Antônio Lopes,Antônio Lopes,OK,20:00,20:00,OK,Maracanã,,confirmado,Dick Jol,{},confirmado,"fonte encontrada, pendente de SQL",pesquisar,73000,None,None,Soccerzz + Wikipedia
215428,23/01/2000,Torneio Rio-São Paulo,Palmeiras-SP,casa,3x3,3x3,"Romário (2), Viola",Romário:2; Viola:1,Alcir Portela,Alcir Portela,OK,19:00,19:00,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215429,27/01/2000,Torneio Rio-São Paulo,Fluminense-RJ,fora,2x1,2x1,Romário (2),Romário:2,Alcir Portela,Alcir Portela,OK,20:30,20:30,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215430,30/01/2000,Torneio Rio-São Paulo,Corinthians,casa,1x0,1x0,Romário,Romário:1,Alcir Portela,Alcir Portela,OK,19:00,19:00,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215431,05/02/2000,Torneio Rio-São Paulo,Palmeiras-SP,fora,1x2,1x2,Romário,Romário:1,Alcir Portela,Alcir Portela,OK,16:00,16:00,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215432,09/02/2000,Torneio Rio-São Paulo,Fluminense-RJ,casa,1x0,1x0,Romário,Romário:1,Alcir Portela,Alcir Portela,OK,20:30,20:30,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215433,13/02/2000,Torneio Rio-São Paulo,Corinthians,fora,1x1,1x1,Romário,Romário:1,Alcir Portela,Alcir Portela,OK,18:30,18:30,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215434,19/02/2000,Torneio Rio-São Paulo,São Paulo-SP,fora,3x0,3x0,"Gilberto, Dedé, Romário",Gilberto:1; Dedé:1; Romário:1,Antônio Lopes,Antônio Lopes,OK,16:00,16:00,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215435,23/02/2000,Torneio Rio-São Paulo,São Paulo-SP,casa,2x1,2x1,Romário (2),Romário:2,Antônio Lopes,Antônio Lopes,OK,21:40,21:40,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215436,26/02/2000,Torneio Rio-São Paulo,Palmeiras-SP,casa,1x2,1x2,Romário,Romário:1,Antônio Lopes,Antônio Lopes,OK,16:00,16:00,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215437,01/03/2000,Torneio Rio-São Paulo,Palmeiras-SP,fora,0x4,0x4,-,,Antônio Lopes,Antônio Lopes,OK,21:40,21:40,OK,Morumbi,Morumbi,confirmado,Jorge Travassos dos Santos,"{""arbitro"":""Jorge Travassos dos Santos"",""auxiliares"":[],""var"":""""}",confirmado,confirmada,confirmados,,None,None,Palmeiras oficial + Verdazzo + NetVasco
215389,12/03/2000,Campeonato Carioca,Madureira-RJ,casa,2x0,2x0,Edmundo (2),Edmundo:2,Abel Braga,Abel Braga,OK,17:00,17:00,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215384,15/03/2000,Copa do Brasil,Botafogo-PB,fora,3x1,3x1,"Edmundo, Dedé, P. Miranda",Edmundo:1; Dedé:1; P. Miranda:1,Abel Braga,Abel Braga,OK,15:30,15:30,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215390,18/03/2000,Campeonato Carioca,Bangu-RJ,casa,3x0,3x0,"Edmundo, A. Oliveira, Pedrinho",Edmundo:1; A. Oliveira:1; Pedrinho:1,Abel Braga,Abel Braga,OK,16:00,16:00,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215391,22/03/2000,Campeonato Carioca,Friburguense,fora,1x0,1x0,Edmundo,Edmundo:1,Abel Braga,Abel Braga,OK,20:30,20:30,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
