match_id,data,competicao,adversario,local_ref,placar_ref,placar_banco,gols_vasco_ref,gols_vasco_banco,tecnico_ref,tecnico_banco,tecnico_status,horario_ref,horario_banco,horario_status,estadio_ref,estadio_banco,estadio_status,arbitro_ref,arbitragem_banco,arbitragem_status,titulares_status,reservas_status,substituicoes_status,relacionados_status,minutos_status,cartoes_status,publico_presente_ref,publico_banco,renda_banco,fonte_rica
215348,17/01/2001,Torneio Rio-São Paulo,São Paulo-SP,fora,0x2,0x2,-,,Joel Santana,Joel Santana,OK,20:30,,preencher,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,pesquisar,pesquisar,pesquisar,pesquisar,,None,None,NetVasco Rio-São Paulo 2001 + fontes complementares a pesquisar
215313,21/01/2001,Campeonato Carioca,Madureira-RJ,casa,1x2,1x2,Pedrinho,Pedrinho:1,Joel Santana,Joel Santana,OK,17:00,,preencher,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,pesquisar,pesquisar,pesquisar,pesquisar,,None,None,NetVasco Estadual 2001 + fontes complementares a pesquisar
215349,24/01/2001,Torneio Rio-São Paulo,Palmeiras-SP,casa,0x0,0x0,-,,Joel Santana,Joel Santana,OK,21:40,,preencher,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,pesquisar,pesquisar,pesquisar,pesquisar,,None,None,NetVasco Rio-São Paulo 2001 + fontes complementares a pesquisar
215314,27/01/2001,Campeonato Carioca,Friburguense,fora,2x1,2x1,"Ely Thadeu, Zada",Ely Thadeu:1; Zada:1,Joel Santana,Joel Santana,OK,17:00,,preencher,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,pesquisar,pesquisar,pesquisar,pesquisar,,None,None,NetVasco Estadual 2001 + fontes complementares a pesquisar
215350,31/01/2001,Torneio Rio-São Paulo,Corinthians,casa,1x0,1x0,Alex Oliveira,Alex Oliveira:1,Joel Santana,Joel Santana,OK,21:40,,preencher,São Januário,,confirmado,Edílson Pereira de Carvalho,{},confirmado,"confirmado, pendente SQL",parcial,confirmado,parcial,parcial,confirmado adversário; Vasco sem cartões na ficha,500,None,None,NetVasco Rio-São Paulo 2001 ficha 05vascor
215315,03/02/2001,Campeonato Carioca,América,fora,1x0,1x0,Maricá,Maricá:1,Joel Santana,Joel Santana,OK,16:00,,preencher,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,pesquisar,pesquisar,pesquisar,pesquisar,,None,None,NetVasco Estadual 2001 + fontes complementares a pesquisar
215351,07/02/2001,Torneio Rio-São Paulo,Santos,fora,0x3,0x3,-,,Joel Santana,Joel Santana,OK,21:40,,preencher,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,pesquisar,pesquisar,pesquisar,pesquisar,,None,None,NetVasco Rio-São Paulo 2001 + fontes complementares a pesquisar
215316,11/02/2001,Campeonato Carioca,Fluminense-RJ,casa,2x0,2x0,"Pedrinho, Euller",Pedrinho:1; Euller:1,Joel Santana,Joel Santana,OK,17:00,,preencher,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,pesquisar,pesquisar,pesquisar,pesquisar,,None,None,NetVasco Estadual 2001 + fontes complementares a pesquisar
215317,17/02/2001,Campeonato Carioca,Cabofriense-RJ,casa,3x1,3x1,"Romário (2), Juninho Paulista",Romário:2; Juninho Paulista:1,Joel Santana,Joel Santana,OK,16:00,,preencher,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,pesquisar,pesquisar,pesquisar,pesquisar,,None,None,NetVasco Estadual 2001 + fontes complementares a pesquisar
215318,22/02/2001,Campeonato Carioca,Flamengo-RJ,fora,0x1,0x1,-,,Joel Santana,Joel Santana,OK,20:30,,preencher,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,pesquisar,pesquisar,pesquisar,pesquisar,,None,None,NetVasco Estadual 2001 + fontes complementares a pesquisar
