id,data,date_iso,competicao,adversario,local,vasco_goals,opponent_goals,observation,tecnico
4177,23/01/2005,2005-01-23,Campeonato Carioca,Portuguesa,casa,2,1,,Renato Gaúcho
4178,26/01/2005,2005-01-26,Campeonato Carioca,América,fora,1,1,,Renato Gaúcho
4179,30/01/2005,2005-01-30,Campeonato Carioca,Botafogo,casa,1,1,,Renato Gaúcho
4180,03/02/2005,2005-02-03,Campeonato Carioca,Volta Redonda,fora,0,1,,Renato Gaúcho
4181,09/02/2005,2005-02-09,Campeonato Carioca,Friburguense,casa,4,1,,Renato Gaúcho
4189,16/02/2005,2005-02-16,Copa do Brasil,União Rondonópolis-MT,fora,2,2,,Renato Gaúcho
4182,24/02/2005,2005-02-24,Campeonato Carioca,Madureira,casa,3,3,,Renato Gaúcho
4183,27/02/2005,2005-02-27,Campeonato Carioca,Fluminense,casa,2,1,,Renato Gaúcho
4190,02/03/2005,2005-03-02,Copa do Brasil,União Rondonópolis-MT,casa,2,0,,Renato Gaúcho
4184,06/03/2005,2005-03-06,Campeonato Carioca,Cabofriense,fora,2,3,,Renato Gaúcho
4191,10/03/2005,2005-03-10,Copa do Brasil,Moto Clube-MA,fora,2,1,,Renato Gaúcho
4185,13/03/2005,2005-03-13,Campeonato Carioca,Americano,casa,2,0,,Renato Gaúcho
4192,16/03/2005,2005-03-16,Copa do Brasil,Moto Clube-MA,casa,6,0,,Renato Gaúcho
4186,20/03/2005,2005-03-20,Campeonato Carioca,Flamengo,casa,2,2,,Renato Gaúcho
4187,23/03/2005,2005-03-23,Campeonato Carioca,Olaria,fora,2,1,,Renato Gaúcho
4188,26/03/2005,2005-03-26,Campeonato Carioca,Fluminense,fora,1,1,,Renato Gaúcho
4193,14/04/2005,2005-04-14,Copa do Brasil,Baraúnas-RN,fora,2,2,,Renato Gaúcho
4194,20/04/2005,2005-04-20,Copa do Brasil,Baraúnas-RN,casa,0,3,,Renato Gaúcho
4195,24/04/2005,2005-04-24,Campeonato Brasileiro Serie A,Brasiliense-DF,fora,1,0,,Renato Gaúcho
4196,30/04/2005,2005-04-30,Campeonato Brasileiro Serie A,Fortaleza-CE,casa,0,0,,Renato Gaúcho
4197,15/05/2005,2005-05-15,Campeonato Brasileiro Serie A,Juventude-RS,fora,1,4,,Renato Gaúcho
4198,22/05/2005,2005-05-22,Campeonato Brasileiro Serie A,São Paulo-SP,casa,3,1,,Renato Gaúcho
4199,29/05/2005,2005-05-29,Campeonato Brasileiro Serie A,Ponte Preta-SP,fora,2,4,,Renato Gaúcho
4200,12/06/2005,2005-06-12,Campeonato Brasileiro Serie A,Coritiba-PR,casa,2,2,,Renato Gaúcho
4201,18/06/2005,2005-06-18,Campeonato Brasileiro Serie A,Palmeiras-SP,fora,2,5,,Renato Gaúcho
4202,26/06/2005,2005-06-26,Campeonato Brasileiro Serie A,Cruzeiro-MG,fora,3,3,,Renato Gaúcho
4203,02/07/2005,2005-07-02,Campeonato Brasileiro Serie A,Goiás-GO,casa,1,2,,Celso Roth
4204,10/07/2005,2005-07-10,Campeonato Brasileiro Serie A,Internacional-RS,casa,2,4,,Celso Roth
4205,17/07/2005,2005-07-17,Campeonato Brasileiro Serie A,Flamengo-RJ,fora,0,1,,Celso Roth
4206,20/07/2005,2005-07-20,Campeonato Brasileiro Serie A,Santos-SP,fora,3,2,,Celso Roth
4207,24/07/2005,2005-07-24,Campeonato Brasileiro Serie A,Corinthians-SP,casa,2,3,,Celso Roth
4208,27/07/2005,2005-07-27,Campeonato Brasileiro Serie A,Atlético-PR,fora,2,7,,Celso Roth
4209,30/07/2005,2005-07-30,Campeonato Brasileiro Serie A,São Caetano-SP,casa,3,2,,Celso Roth
4210,04/08/2005,2005-08-04,Campeonato Brasileiro Serie A,Fluminense-RJ,fora,2,3,,Celso Roth
4211,10/08/2005,2005-08-10,Campeonato Brasileiro Serie A,Paysandu-PA,fora,2,0,,Celso Roth
